country,country_short,actor,party_short,name,handle,activity_recent
Spain,ES,party,PSOE,PSOE,@PSOE,yes
Spain,ES,individual,Cs,AlbertRivera,@Albert_Rivera,yes
Spain,ES,party,Cs,Ciudadanos,@CiudadanosCs,yes
Spain, ES, individual, ECP, Ada Colau, @AdaColau, yes
Spain, ES, party, ECP, En Comú Podem, @EnComu_Podem, yes
Spain, ES, individual, EM, Luís Villares, @VillaresLuis, yes
Spain, ES, party, EM, En Marea, @En_Marea, yes
Spain, ES, individual, EAJ/PNV, Andoni Ortuzar, @andoniortuzar, yes
Spain, ES, party, EAJ/PNV, EAJ-PNV, @eajpnv, yes
Spain, ES, individual, Compromís, Enric Morera, @enricmorera, yes
Spain, ES, party, Compromís, @compromis, yes
Spain, ES, individual, NCa, Román Rodríguez Rodríguez, , no
Spain, ES, party, NCa, Nueva Canarias, @Nueva_Canarias, yes
Spain, ES, individuel, PDeCAT-JuntsxCat, David Bonvehí, @davidbonvehi, yes
﻿Spain, ES, party, PDeCAT–JuntsxCat, Partit Demòcrata, @Pdemocratacat, yes
Spain, ES, individual, Cs, Albert Rivera, @Albert_Rivera, yes
Spain, ES, party, Cs, Ciudadanos, @CiudadanosCs, yes
Spain, ES, individual, ERC, Oriol Junqueras, @junqueras, yes
Spain, ES, party, ERC, Esquerra Republicana, @Esquerra_ERC, yes
Spain, ES, individual, EH Bildu, Arnaldo Otegi, @ArnaldoOtegi, yes
Spain, ES, party, EH Bildu, EH Bildu, @ehbildu, yes
Spain, ES, individual, UPN, Javier Esparza, @JavierJesparza, yes
﻿Spain, ES, pary, UPN, Navarra Suma, @navarra_suma, yes
Spain, ES, individual, FAC, Carmen Moriyón, @carmenmoriyon, yes
Spain, ES, party, FAC, Foro, @ForoAsturias, yes 
Spain, ES, individual, CC, Ana Oramas, @anioramas, yes
Spain, ES, party, CC, Coalición Canaria, @coalicion, yes
Switzerland,CH,individual,SVP,,,
Switzerland,CH,party,SVP,SVPSChweiz,@SVPch,yes
Switzerland,CH,individual,CVP,GerhardPfister,@gerhardpfister,yes
Switzerland,CH,party,CVP,CVPPDCPPDPCD,@CVP_PDC,yes
Switzerland,CH,individual,FDP,PetraGössi,@PetraGoessi,yes
Switzerland,CH,party,FDP,FDPSchweiz,@FDP_Liberalen,yes
Switzerland,CH,individual,SP,ChristianLevrat,@ChristianLevrat,yes
Switzerland,CH,party,SP,SPSchweiz,@spschweiz,yes
Switzerland,CH,individual,GPS,RegulaRytz,@RegulaRytz,yes
Switzerland,CH,party,GPS,GRÜNESchweiz,@GrueneCH,yes
Switzerland,CH,individual,glp,JürgGrossen,@Juerg_Grossen,yes
Switzerland,CH,party,glp,GrünliberaleSchweiz,@grunliberale,yes
Switzerland, CH, individual, BDP, Martin Landolt, @LandoltMartin, yes
Switzerland, CH, party, BDP, BDP Schweiz, @BDPSchweiz, yes 
Switzerland, CH, individual, EVP, Marianne Streiff, @MarianneStreiff, yes
Switzerland, CH, party, EVP, EVP Schweiz, @evppev, yes
Switzerland, CH, individual, Lega, Attilio Bignasca, , no
Switzerland, CH, party, LEGA, LEGA dei Ticinesi, @LEGAdeiTicinesi, no 
Switzerland, CH, individual, MCG,  Mauro Poggia, @MauroPoggia, no
Switzerland, CH, party, , ,no 
Switzerland, CH, individual, PdA, Gavriel Pinson, ,no
Switzerland, CH, party, Partei der Arbeit, , no
UnitedKingdom,UK,individuals,UKIP,GerardBatten,@GerardBattenMEP,yes
UnitedKingdom,UK,party,UKIP,UKIP,@UKIP,yes
UnitedKingdom,UK,individuals,C,TheresaMay,@theresa_may,yes
UnitedKingdom,UK,party,C,Conservatives,@Conservatives,yes
UnitedKingdom,UK,individuals,Labour,JeremyCorbyn,@jeremycorbyn,yes
UnitedKingdom,UK,party,Labour,TheLabourParty,@UKLabour,yes
UnitedKingdom,UK,individuals,LipDem,VinceCable,@vincecable,yes
UnitedKingdom,UK,party,LipDem,LiberalDemocrats,@LibDems,yes
UnitedKingdom,UK,individuals,SNP,NicolaSturgeon,@NicolaSturgeon,yes
UnitedKingdom,UK,party,SNP,TheSNP,@theSNP,yes
UnitedKingdom, UK, individual, DUP, Arlene Foster, @DUPleader, yes
UnitedKingdom, UK, party, DUP, DUP, @duponline, yes
UnitedKingdom, UK, individual, TIG, Heidi Allen MP, @heidiallen75, yes
UnitedKingdom, UK, party, The Independent Group, @TheIndGroup, yes
UnitedKingdom, UK, individual, SF, Mary Lou McDonald, @MaryLouMcDonald, yes
UnitedKingdom, UK, party, Sinn Féin, @sinnfeinireland, yes
UnitedKingdom, UK, individual, PC, Adam Price, @Adamprice, yes
UnitedKingdom, UK, party, Plaid Cymru, @Plaid_Cymru, yes
UnitedKingdom, UK, individual, GPEW, Jonathan Bartley, @jon_bartley, yes
UnitedKingdom, UK, party, Green Party of England and Wales, @TheGreenParty, yes
